t5, l, four_pi_sqr_l, uncertaintyfour_pi_sqr_l, t3, t4, uncertainty_t, t1, time_per_osc, uncertaintytime_per_osc, t_squared, uncertaintyt_squared, t2
19.63, 0.96, 37.899280900183137096324445440, 0.3947841760435743447533796400, 19.38, 19.58, 0.1750, 19.51, 1.9476, 0.0175, 3.79314576, 0.0681659999999999999999999999, 19.28
18.80, 0.88, 34.741007491834542338297408320, 0.3947841760435743447533796400, 18.85, 19.13, 0.3250, 18.98, 1.8848, 0.0325, 3.55247104, 0.1225119999999999999999999999, 18.48
15.88, 0.63, 24.871403090745183719462917320, 0.3947841760435743447533796400, 15.66, 15.78, 0.1250, 15.76, 1.5742, 0.0125, 2.47810564, 0.0393549999999999999999999999, 15.63
16.78, 0.72, 28.424460675137352822243334080, 0.3947841760435743447533796400, 16.75, 16.90, 0.10, 16.87, 1.6850, 0.01, 2.83922500, 0.0337000000000000000000000002, 16.95
13.53, 0.47, 18.554856274047994203408843080, 0.3947841760435743447533796400, 13.56, 13.60, 0.0850, 13.55, 1.3534, 0.0085, 1.83169156, 0.0230078000000000000000000001, 13.43
10.57, 0.29, 11.448741105263655997848009560, 0.3947841760435743447533796400, 10.67, 10.71, 0.07, 10.65, 1.0636, 0.0070, 1.13124496, 0.0148904000000000000000000000, 10.58
